,HomeTeam,AwayTeam,FTHG,FTAG,result,HTHG,HTAG,HTR,HST,AST,HF,AF,HY,AY,HR,AR,player_Name_home,player_Wins_home,player_Losses_home,player_Goals_home,player_Goals per match_home,player_Penalties scored_home,player_Shooting accuracy %_home,player_Own goals_home,player_Yellow cards_home,player_Red cards_home,player_Fouls_home,Forward_home,rank_home,matches_played_home,wins_home,drawns_home,goals_for_home,goals_against_home,goals_diff_home,points_home,lossess_home,rank_away,matches_played_away,wins_away,drawns_away,goals_for_away,goals_against_away,goals_diff_away,points_away,lossess_away,player_Name_away,player_Wins_away,player_Losses_away,player_Goals_away,player_Goals per match_away,player_Penalties scored_away,player_Shooting accuracy %_away,player_Own goals_away,player_Yellow cards_away,player_Red cards_away,player_Fouls_away,Forward_away,numberof_winby_home_between,numberof_winby_away_between,numberof_match_draw_between,number_of_match_play_between,Past_5_match_won_by_home,Past_5_match_won_by_away,Past_5_match_drwan
85,Arsenal,Liverpool,1,1,D,0,0,D,6,5,13,13,2,4,0,0,Willian,137,47,37,0,5,37,0,21,1,131,Willian,2,1038,565,260,1845,1013,30,72,213,4,1038,529,262,1774,1046,26,68,247,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,0,1,3,4,0,1,3
86,Arsenal,Liverpool,0,0,D,0,0,D,5,8,2,13,1,4,0,0,Willian,137,47,37,0,5,37,0,21,1,131,Willian,2,1038,565,260,1845,1013,30,72,213,4,1038,529,262,1774,1046,26,68,247,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,0,1,3,4,0,1,3
87,Arsenal,Liverpool,3,4,A,1,1,D,5,7,13,17,3,3,0,0,Willian,137,47,37,0,5,37,0,21,1,131,Willian,2,1038,565,260,1845,1013,30,72,213,4,1038,529,262,1774,1046,26,68,247,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,0,1,3,4,0,1,3
88,Arsenal,Liverpool,3,3,D,0,1,A,4,9,9,11,1,0,0,0,Willian,137,47,37,0,5,37,0,21,1,131,Willian,2,1038,565,260,1845,1013,30,72,213,4,1038,529,262,1774,1046,26,68,247,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,0,1,3,4,0,1,3
89,Newcastle,Liverpool,2,0,H,1,0,H,7,6,10,11,3,3,0,1,Callum Wilson,39,60,42,0,5,40,0,13,0,177,Callum Wilson,7,920,346,234,1249,1235,0,53,340,4,1038,529,262,1774,1046,26,68,247,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,2,0,0,2,2,0,0
90,Newcastle,Liverpool,2,0,H,0,0,D,1,1,6,10,3,1,0,0,Callum Wilson,39,60,42,0,5,40,0,13,0,177,Callum Wilson,7,920,346,234,1249,1235,0,53,340,4,1038,529,262,1774,1046,26,68,247,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,2,0,0,2,2,0,0
91,West Brom,Liverpool,2,2,D,0,1,A,6,3,12,5,0,1,0,0,Jamie Soule,0,0,0,0,0,0,0,0,0,0,Jamie Soule,17,456,112,128,475,696,-18,38,216,4,1038,529,262,1774,1046,26,68,247,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,0,0,1,1,0,0,1
92,Southampton,Liverpool,1,3,A,1,1,D,1,5,8,7,2,4,0,0,Michael Obafemi,10,12,4,0,0,40,0,2,0,13,Michael Obafemi,12,772,238,214,937,1087,-7,46,320,4,1038,529,262,1774,1046,26,68,247,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,0,1,0,1,0,1,0
93,Crystal Palace,Liverpool,3,3,D,0,1,A,6,9,7,12,2,3,0,0,Michy Batshuayi,37,15,13,0,0,34,0,0,0,24,Michy Batshuayi,14,388,111,96,425,564,-13,42,181,4,1038,529,262,1774,1046,26,68,247,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,1,1,1,3,1,1,1
94,Crystal Palace,Liverpool,3,1,H,1,1,D,5,1,21,10,1,2,0,0,Michy Batshuayi,37,15,13,0,0,34,0,0,0,24,Michy Batshuayi,14,388,111,96,425,564,-13,42,181,4,1038,529,262,1774,1046,26,68,247,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,1,1,1,3,1,1,1
95,Crystal Palace,Liverpool,0,2,A,0,1,A,2,6,6,13,1,1,1,0,Michy Batshuayi,37,15,13,0,0,34,0,0,0,24,Michy Batshuayi,14,388,111,96,425,564,-13,42,181,4,1038,529,262,1774,1046,26,68,247,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,1,1,1,3,1,1,1
96,Leicester,Liverpool,3,1,H,2,0,H,7,7,8,5,0,0,0,0,Fousseni Diabaté,3,7,0,15,0,33,0,1,0,1,Fousseni Diabaté,11,498,157,136,623,718,-7,46,205,4,1038,529,262,1774,1046,26,68,247,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,1,0,0,1,1,0,0
97,Everton,Tottenham,2,2,D,0,0,D,6,11,11,18,4,4,0,0,Anthony Gordon,3,4,0,11,0,17,0,0,0,10,Anthony Gordon,8,1038,377,296,1357,1311,1,52,365,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,0,1,2,3,0,1,2
98,Everton,Tottenham,0,0,D,0,0,D,1,6,11,9,4,1,0,0,Anthony Gordon,3,4,0,11,0,17,0,0,0,10,Anthony Gordon,8,1038,377,296,1357,1311,1,52,365,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,0,1,2,3,0,1,2
99,Everton,Tottenham,2,6,A,1,3,A,3,8,13,9,0,2,0,0,Anthony Gordon,3,4,0,11,0,17,0,0,0,10,Anthony Gordon,8,1038,377,296,1357,1311,1,52,365,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,0,1,2,3,0,1,2
100,Wolves,Tottenham,0,2,A,0,0,D,6,11,5,12,3,2,0,0,Leonardo Campana,0,0,0,0,0,0,0,0,0,0,Leonardo Campana,18,190,48,49,203,327,-24,38,93,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,0,1,0,1,0,1,0
101,Burnley,Tottenham,0,0,D,0,0,D,4,2,9,5,2,0,0,0,Matej Vydra,11,30,6,0,0,54,0,1,0,9,Matej Vydra,15,190,51,44,190,297,-21,39,95,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,0,0,1,1,0,0,1
102,Man City,Tottenham,0,1,A,0,0,D,5,6,12,14,0,3,0,0,Liam Delap,0,0,0,0,0,0,0,0,0,0,Liam Delap,5,848,391,196,1374,975,18,62,261,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,2,1,0,3,2,1,0
103,Man City,Tottenham,1,0,H,1,0,H,4,7,7,8,1,1,0,0,Liam Delap,0,0,0,0,0,0,0,0,0,0,Liam Delap,5,848,391,196,1374,975,18,62,261,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,2,1,0,3,2,1,0
104,Man City,Tottenham,6,0,H,3,0,H,10,5,7,11,1,3,0,0,Liam Delap,0,0,0,0,0,0,0,0,0,0,Liam Delap,5,848,391,196,1374,975,18,62,261,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,2,1,0,3,2,1,0
105,Fulham,Tottenham,0,0,D,0,0,D,6,1,19,12,1,0,0,0,Aboubakar Kamara,2,10,3,0,1,45,0,2,0,26,Aboubakar Kamara,13,532,157,141,604,778,-12,43,234,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,0,2,1,3,0,2,1
106,Fulham,Tottenham,1,3,A,0,2,A,20,8,5,9,0,1,0,0,Aboubakar Kamara,2,10,3,0,1,45,0,2,0,26,Aboubakar Kamara,13,532,157,141,604,778,-12,43,234,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,0,2,1,3,0,2,1
107,Fulham,Tottenham,1,2,A,1,0,H,4,5,10,8,2,3,0,0,Aboubakar Kamara,2,10,3,0,1,45,0,2,0,26,Aboubakar Kamara,13,532,157,141,604,778,-12,43,234,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,0,2,1,3,0,2,1
108,West Ham,Tottenham,2,3,A,1,1,D,6,16,12,7,4,1,0,0,Emmanuel Longelo,0,0,0,0,0,0,0,0,0,0,Emmanuel Longelo,10,882,290,228,1064,1269,-8,47,364,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,1,1,0,2,1,1,0
109,West Ham,Tottenham,1,0,H,0,0,D,5,5,8,9,4,2,0,0,Emmanuel Longelo,0,0,0,0,0,0,0,0,0,0,Emmanuel Longelo,10,882,290,228,1064,1269,-8,47,364,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,1,1,0,2,1,1,0
110,Liverpool,Tottenham,2,0,H,1,0,H,5,5,11,17,2,3,0,0,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,4,1038,529,262,1774,1046,26,68,247,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,3,0,1,4,3,0,1
111,Liverpool,Tottenham,0,0,D,0,0,D,10,6,6,11,2,2,0,0,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,4,1038,529,262,1774,1046,26,68,247,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,3,0,1,4,3,0,1
112,Liverpool,Tottenham,3,2,H,1,1,D,4,9,9,8,1,1,0,0,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,4,1038,529,262,1774,1046,26,68,247,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,3,0,1,4,3,0,1
113,Liverpool,Tottenham,2,1,H,1,0,H,3,2,5,8,0,1,0,0,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,4,1038,529,262,1774,1046,26,68,247,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,3,0,1,4,3,0,1
