,Name,Jersey Number,Club,Position,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides,Defender,Forward,Midfielder,Goalkeeper
22,Dani Ceballos,8.0,Arsenal,Midfielder,Spain,24.0,26,14,6,0,26.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,21%,0.0,0.0,,,49.0,51%,,6.0,37.0,14.0,9.0,,163.0,127.0,129.0,30.0,12.0,26.0,,0.0,3,1372,52.77,2.0,71.0,14%,7.0,81.0,,,,,,,,,1,0,21,0.0,0,0,Dani Ceballos,0
23,Alexandre Lacazette,9.0,Arsenal,Forward,France,29.0,99,46,28,39,0.39,4.0,30.0,5.0,2.0,1.0,204.0,93.0,46%,4.0,31.0,,,92.0,,,44.0,30.0,49.0,35.0,,,,,,,,,,16,2045,20.66,15.0,60.0,,,,,,,,,,,,11,0,127,62.0,0,Alexandre Lacazette,0,0
24,Pierre-Emerick Aubameyang,14.0,Arsenal,Forward,Gabon,31.0,87,43,25,55,0.63,3.0,44.0,8.0,7.0,1.0,222.0,105.0,47%,8.0,39.0,,,58.0,,,52.0,25.0,38.0,12.0,,,,,,,,,,13,1880,21.61,17.0,155.0,,,,,,,,,,,,4,1,30,55.0,0,Pierre-Emerick Aubameyang,0,0
25,Nicolas Pépé,19.0,Arsenal,Forward,Cote D'Ivoire,25.0,33,15,9,5,0.15,0.0,0.0,5.0,1.0,0.0,51.0,18.0,35%,3.0,2.0,,,32.0,,,14.0,8.0,4.0,2.0,,,,,,,,,,6,723,21.91,8.0,113.0,,,,,,,,,,,,4,0,14,4.0,0,Nicolas Pépé,0,0
26,Reiss Nelson,24.0,Arsenal,Forward,England,20.0,20,10,5,1,0.05,0.0,1.0,0.0,0.0,0.0,13.0,4.0,31%,0.0,0.0,,,15.0,,,5.0,6.0,2.0,0.0,,,,,,,,,,0,286,14.3,0.0,25.0,,,,,,,,,,,,1,0,8,4.0,0,Reiss Nelson,0,0
27,Eddie Nketiah,30.0,Arsenal,Forward,England,21.0,23,12,8,4,0.17,0.0,2.0,2.0,0.0,0.0,20.0,8.0,40%,4.0,3.0,,,9.0,,,4.0,2.0,6.0,2.0,,,,,,,,,,0,172,7.48,1.0,1.0,,,,,,,,,,,,0,1,18,5.0,0,Eddie Nketiah,0,0
28,Gabriel Martinelli,35.0,Arsenal,Forward,Brazil,19.0,14,3,3,3,0.21,0.0,3.0,0.0,0.0,0.0,12.0,5.0,42%,0.0,1.0,,,20.0,75%,,2.0,3.0,5.0,4.0,,34.0,46.0,92.0,9.0,8.0,37.0,,0.0,0,116,8.29,0.0,22.0,22%,1.0,2.0,,,,,,,,,1,0,9,2.0,0,Gabriel Martinelli,0,0
29,Willian,12.0,Arsenal,Forward,Brazil,32.0,236,137,47,37,0.16,1.0,33.0,3.0,5.0,4.0,393.0,145.0,37%,15.0,20.0,,,246.0,,,111.0,100.0,54.0,24.0,,,,,,,,,,35,8290,35.13,51.0,1009.0,,,,,,,,,,,,21,1,131,33.0,0,Willian,0,0
30,Tom Heaton,1.0,Aston Villa,Goalkeeper,England,34.0,116,34,55,0,,,,,,,,,,,,28.0,167.0,,,,,,,,,,,,,,,2.0,3.0,0,3290,28.36,,,,,1067.0,408.0,3.0,40.0,96.0,73.0,53.0,436.0,1023.0,5,0,2,,0,0,0,Tom Heaton
31,Jed Steer,12.0,Aston Villa,Goalkeeper,England,28.0,2,0,2,0,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0,32,16.0,,,,,6.0,2.0,0.0,0.0,1.0,0.0,2.0,8.0,5.0,0,0,0,,0,0,0,Jed Steer
